theta,x1,x2
14.18896262199876,24002.238396823937,17044025969321784e-21
14.189081642098806,24002.238426720924,1738176682886331e-20
14.189200662198852,24002.238456605988,17718798243183442e-21
14.189319682298898,24002.238486479106,1805512011560469e-20
14.189438702398943,24002.238516340254,1839073234923268e-20
14.189557722498988,24002.238546189412,18725634846955324e-21
14.189676742599033,24002.238576026557,19059827511441967e-21
14.18979576269908,24002.238605851664,19393310245142428e-21
14.189914782799125,24002.23863566471,19726082950286092e-21
14.19003380289917,24002.238665465677,20058145528881077e-21
14.190152822999215,24002.23869525454,2038949788271325e-20
14.19027184309926,24002.23872503127,20720139913345325e-21
14.190390863199307,24002.238754795853,2105007152211595e-20
14.190509883299352,24002.238784548263,21379292610138813e-21
14.190628903399398,24002.238814288474,2170780307830164e-20
14.190747923499444,24002.238844016465,22035602827265284e-21
14.190866943599488,24002.238873732214,22362691757462758e-21
14.190985963699534,24002.238903435697,22689069769098314e-21
14.19110498379958,24002.238933126886,23014736762146473e-21
14.191224003899626,24002.23896280576,23339692636351026e-21
14.191343023999671,24002.238992472296,23663937291224093e-21
14.191462044099715,24002.23902212647,2398747062604514e-20
14.191581064199761,24002.239051768254,2431029253986e-17
14.191700084299807,24002.23908139763,24632402931479866e-21
14.191819104399853,24002.23911101457,24953801699480256e-21
14.191938124499899,24002.23914061905,2527448874220008e-20
14.192057144599945,24002.239170211047,25594463957740603e-21
14.192176164699989,24002.239199790536,2591372724396439e-20
14.192295184800034,24002.23922935749,2623227849849432e-20
14.19241420490008,24002.239258911883,26550117618712514e-21
14.192533225000126,24002.239288453697,2686724450175936e-20
14.192652245100172,24002.2393179829,27183659044532435e-21
14.192771265200216,24002.23934749947,27499361143685414e-21
14.192890285300262,24002.239377003385,2781435069562705e-20
14.193009305400308,24002.239406494617,28128627596520105e-21
14.193128325500354,24002.239435973137,28442191742280236e-21
14.1932473456004,24002.239465438925,2875504302857497e-20
14.193366365700443,24002.23949489195,290671813508226e-19
14.19348538580049,24002.239524332188,29378606604191047e-21
14.193604405900535,24002.239553759617,29689318683596784e-21
14.193723426000581,24002.239583174207,2999931748370375e-20
14.193842446100627,24002.239612575933,30308602898922205e-21
14.193961466200673,24002.23964196477,3061717482340757e-20
14.194080486300717,24002.23967134069,3092503315105934e-20
14.194199506400762,24002.239700703663,3123217777551992e-20
14.194318526500808,24002.23973005367,315386085901735e-19
14.194437546600854,24002.23975939068,3184432548814485e-20
14.1945565667009,24002.239788714665,32149328362298195e-21
14.194675586800944,24002.239818025602,3245361710523603e-20
14.19479460690099,24002.23984732346,32757191609297884e-21
14.194913627001036,24002.239876608215,3306005176655921e-20
14.195032647101081,24002.23990587984,3336219746883014e-20
14.195151667201127,24002.239935138303,336636286076543e-19
14.195270687301173,24002.23996438358,33964345074307537e-21
14.195389707401217,24002.239993615643,3426434675979679e-20
14.195508727501263,24002.240022834463,34563633554858764e-21
14.195627747601309,24002.240052040015,3486220534995871e-20
14.195746767701355,24002.24008123227,35160062035289214e-21
14.1958657878014,24002.240110411196,3545720350076891e-20
14.195984807901445,24002.24013957677,3575362963604119e-20
14.19610382800149,24002.24016872896,3604934033047295e-20
14.196222848101536,24002.240197867737,36344335473153275e-21
14.196341868201582,24002.240226993075,3663861495289219e-20
14.196460888301628,24002.240256104942,369321786582193e-19
14.196579908401674,24002.240285203312,37225026477382505e-21
14.196698928501718,24002.240314288156,3751715829834668e-20
14.196817948601764,24002.24034335944,37808574008792295e-21
14.19693696870181,24002.24037241714,3809927349611412e-20
14.197055988801855,24002.240401461226,3838925664741982e-20
14.197175008901901,24002.240430491667,3867852334952865e-20
14.197294029001945,24002.240459508434,3896707348897003e-20
14.197413049101991,24002.240488511496,3925490695198218e-20
14.197532069202037,24002.24051750082,395420236245107e-19
14.197651089302083,24002.24054647638,3982842339220721e-20
14.197770109402128,24002.240575438143,40114106140427904e-21
14.197889129502174,24002.240604386083,4039907175423211e-20
14.198008149602218,24002.240633320165,4068332011838087e-20
14.198127169702264,24002.240662240358,4096685111733549e-20
14.19824618980231,24002.24069114663,4124966463525606e-20
