x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,z,n,l,p,theta
155.63106252117396,-0.7076064116372113,5.927845528045922,-1.081979567888039,-34.78271961900501,1.0,114.10522794705334,0.8,-78.10242888248315,-53.392202936325795,-1.4609690067224645,0.6514569114236775,0.0,3290.3201164685297,0.000128500189684249,1.4343119046770348e-8,0.8471635826298622
155.63106272748826,-0.7053531654733067,5.927845528624019,-1.0630911818763227,-35.133394720431,1.0,114.10522822617732,0.8,-78.10242859839352,-53.392202934646285,-1.46096901561041,0.6580248199055463,0.0,3009.0377741647603,0.0001614200910333034,2.05141212932938e-8,0.8806331408610264
155.6310630017444,-0.7030422979991737,5.927845529442794,-1.0435455245282512,-35.49303749083664,1.0,114.10522859723388,0.8,-78.10242822031144,-53.39220293221301,-1.4609690274336373,0.6647606867972607,0.0,2764.135703678243,0.00020049663557548318,2.8810260980869597e-8,0.9141026990921904
155.6310633611484,-0.7006775379825753,5.9278455305824655,-1.023371356602193,-35.86106761920301,1.0,114.1052290834655,0.8,-78.10242772431161,-53.39220292875249,-1.4609690429372786,0.6716536432680379,0.0,2549.6095369108493,0.00024646592497249315,3.979107018064988e-8,0.9475722573233546
155.63106382600296,-0.6982624591081734,5.927845532143677,-1.0025969333826883,-36.23692893051977,1.0,114.10522971226798,0.8,-78.1024270821431,-53.39220292391423,-1.4609690630005578,0.678693272539413,0.0,2360.6356547118226,0.0003001000896995896,5.411939123958576e-8,0.9810418155545186
155.63106442003615,-0.695800480887938,5.927845534251137,-0.9812499246852386,-36.6200892441397,1.0,114.10523051561815,0.8,-78.1024262607714,-53.3922029172551,-1.460969088650834,0.685869607232575,0.0,2193.3051941836543,0.00036220538568142527,7.257211535448618e-8,1.0145113737856828
155.63106517073712,-0.6932948708194331,5.927845537057614,-0.9593573533561932,-37.010040037927894,1.0,114.10523153050686,0.8,-78.10242522191251,-53.392202908221705,-1.4609691210778606,0.6931731230784042,0.0,2044.4249599411557,0.00043362027262923794,9.605097873313337e-8,1.047980932016847
155.63106610969731,-0.6907487474851576,5.927845540748297,-0.9369455491305815,-37.406295965956524,1.0,114.10523279937428,0.8,-78.10242392156178,-53.39220289613091,-1.4609691616481724,0.7005947298845613,0.0,1911.3667879978973,0.0005152134976389702,1.255933373107869e-7,1.081450490248011
155.63106727295533,-0.6881650843485524,5.927845545545515,-0.9140401152258203,-37.808394267779285,1.0,114.1052343705448,0.8,-78.1024223095204,-53.39220288014821,-1.4609692119195103,0.7081257604719817,0.0,1791.952415721288,0.0006078822033775301,1.623828478199686e-7,1.114920048479175
155.63106870134408,-0.6855467140522117,5.927845551713808,-0.890665905477942,-38.215894099549615,1.0,114.10523629865911,0.8,-78.10242032892202,-53.392202859264124,-1.46096927365521,0.7157579581476051,0.0,1684.3646578844389,0.000712550076430396,2.077599903591128e-7,1.1483896067103392
155.63107044083878,-0.6828963330638237,5.927845559565347,-0.8668470101842612,-38.62837581102354,1.0,114.10523864510108,0.8,-78.10241791576188,-53.39220283226845,-1.4609693488384752,0.723483463163611,0.0,1587.0782734741351,0.0008301655480968061,2.6323237518901344e-7,1.1818591649415033
155.63107254290458,-0.6802165065474436,5.927845569465704,-0.842606749114468,-39.04544018749541,1.0,114.10524147841748,0.8,-78.10241499843073,-53.3922027977225,-1.4609694396864699,0.7312947985199242,0.0,1498.8057135766303,0.000961700057073803,3.3048478407541946e-7,1.2153287231726675
155.63107506484275,-0.6775096733634672,5.927845581839939,-0.8179676704011675,-39.466707671705315,1.0,114.10524487472848,0.8,-78.10241149725546,-53.39220275392919,-1.4609695486641687,0.7391848553916596,0.0,1418.454217093246,0.0011081463810340675,4.1138890391084854e-7,1.2487982814038316
155.63107807013424,-0.6747781511213852,5.927845597179015,-0.7929515542291953,-39.891817577533295,1.0,114.1052489181274,0.8,-78.1024073240482,-53.392202698901194,-1.4609696784979085,0.7471468784027947,0.0,1345.091633384848,0.0012705170420374975,5.080127174517708e-7,1.2822678396349958
155.63108162877998,-0.6720241412260572,5.927845616046522,-0.7675794204175183,-40.320427304702626,1.0,114.10525370106815,0.8,-78.10240238166558,-53.39220263032693,-1.4609698321885958,0.7551744509188033,0.0,1277.9190098677436,0.0014498427889837137,6.226295226994769e-7,1.31573739786616
155.63108581763703,-0.6692497338716537,5.9278456390856915,-0.7418715391338553,-40.752211561628286,1.0,114.10525932473918,0.8,-78.10239656357955,-53.39220254553466,-1.4609700130245218,0.7632614804919021,0.0,1216.248463152842,0.001647171158873911,7.577265586672765e-7,1.349206956097324
155.63109072074977,-0.6664569129481912,5.927845667026698,-0.7158474441050134,-41.18686160186835,1.0,114.10526589942282,0.8,-78.1023897534608,-53.392202441454636,-1.4609702245937577,0.7714021845611327,0.0,1159.48520605749,0.0018635651174689868,9.160132209725542e-7,1.3826765143284883
155.63109642967592,-0.6636475608342632,5.927845700694227,-0.6895259477892032,-41.62408447828705,1.0,114.10527354483906,0.8,-78.1023818247761,-53.392202314579315,-1.4609704707960893,0.7795910764842369,0.0,1107.1128654753495,0.002100101778972561,1.1004288558506208e-6,1.4161460725596524
155.6311030438067,-0.660823463056522,5.927845741015291,-0.6629251580634937,-42.06360231795472,1.0,114.10528239047323,0.8,-78.10237264040022,-53.3922021609218,-1.4609707558544731,0.7878229519579812,0.0,1058.6814227290329,0.0023578712036012328,1.3141501258060402e-6,1.4496156307908163
155.6311106706806,-0.6579863128020508,5.927845789027296,-0.6360624960527539,-42.50515161994177,1.0,114.10529257588674,0.8,-78.10236205224311,-53.39220197597245,-1.4609710843259909,0.7960928758673398,0.0,1013.7972563987208,0.0026379752713019547,1.5605979442068479e-6,1.4830851890219805
155.63111942629106,-0.6551377152742272,5.9278458458863215,-0.6089547147881118,-42.94848257746948,1.0,114.10530425101065,0.8,-78.10234990089317,-53.39220175465387,-1.4609714611122828,0.8043961695909257,0.0,972.1148803987912,0.002941526629412992,1.8434439797083647e-6,1.5165547472531444
155.6311294353869,-0.6522791918862267,5.9278459128756165,-0.5816179184349975,-43.393358425327364,1.0,114.10531757642183,0.8,-78.10233601527678,-53.392201491274186,-1.4609718914694547,0.8127283987797185,0.0,933.3300564054499,0.0032696477117182664,2.1666167344930626e-6,1.5500243054843086
155.6311408317663,-0.6494121842891416,5.927845991414295,-0.5540675818747544,-43.83955481302824,1.0,114.10533272360122,0.8,-78.10232021233443,-53.39220117947884,-1.4609723810174458,0.8210853616179037,0.0,897.1740262672052,0.0036234698260958734,2.5343072029629296e-6,1.5834938637154727
155.63115375856358,-0.646538058233906,5.927846083066207,-0.5263185704608736,-44.28685920382629,1.0,114.10534987517453,0.8,-78.10230229671387,-53.39220081220085,-1.460972935748854,0.829463077568178,0.0,863.4086616263063,0.004004132307793498,2.9509741197554556e-6,1.616963421946637
155.63116836852896,-0.6436581072679616,5.927846189548984,-0.49838515980223363,-44.73507029945272,1.0,114.10536922513505,0.8,-78.10228206048008,-53.39220038160969,-1.4609735620372175,0.837857776598793,0.0,831.822368238397,0.004412781735261834,3.4213488078090006e-6,1.650432980177801
155.63118482430124,-0.6407735562689414,5.927846312743237,-0.47028105545216725,-45.18399749021437,1.0,114.10539097904896,0.8,-78.10225928284225,-53.392199879058865,-1.460974266644755,0.8462658888856935,0.0,802.2266140731557,0.004850571205429716,3.950439638713832e-6,1.6839025384089652
155.63120329867348,-0.6378855648186796,5.927846454701898,-0.44201941240452475,-45.633460329940114,1.0,114.10541535424312,0.8,-78.10223372989773,-53.392199295032164,-1.4609750567295654,0.854684034980107,0.0,774.4529752126708,0.005318659665300913,4.543536118786279e-6,1.7173720966401294
