0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0.0241514 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0.12465 , 
-nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 1 , 1 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , 1 , 1 , 0.0115031 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 4.64692e-13 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , 0.0051616 , 0 , 0 , 0 , 0 , 
-nan , -nan , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0.0160739 , 0.00873318 , 0.00418565 , 0.0035351 , 0.00402462 , 0.0047853 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , 0.0815289 , 0.0209791 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0.0029605 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , 1 , 1 , 0.00276649 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 1 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.71406e-12 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , 0.0135767 , 0.00237226 , 0.00115233 , 0.000391539 , 0.00033519 , 0.000236677 , 0.00017123 , 3.7978e-05 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0.0189032 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 1 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , 1 , 0.015105 , 0.00346243 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0.000262463 , 0 , 
-nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 1 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , -nan , -nan , 1 , 1 , 1 , 1 , 1 , 1 , 
-nan , -nan , -nan , -nan , -nan , 0 , 9.22494e-09 , 0 , 0 , 
-nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
