thw;the;baseTn;Tn;TnPrima;baseTc;Tc;TcPrima;baseTl;Tl;TlPrima
6.396543717;9.988840197;424.1304894;196.5338713;0.138201564;37.24673037;718.2561814;0.381286471;4.891649305;-330.7768758;0.817889965
6.408164967;9.988879066;416.7014006;197.5801925;0.143480694;34.59226348;719.2704075;0.382879102;4.955349683;-330.7247946;0.817302376
6.419807331;9.988919162;409.5150886;198.6300394;0.1486989;31.95991638;720.2802305;0.384362487;5.019980684;-330.6719907;0.81671122
6.431470846;9.988960509;402.5595071;199.6822696;0.15385817;29.35041685;721.2850295;0.38574606;5.085555539;-330.6184545;0.816116499
6.443155552;9.989003133;395.8234775;200.7358469;0.158960337;26.76438051;722.2842535;0.387038157;5.152087709;-330.5641764;0.815518215
6.454861487;9.98904706;389.2965207;201.7898444;0.164007169;24.20229118;723.2774274;0.388246198;5.219590953;-330.5091466;0.814916368
6.466588689;9.989092318;382.9688368;202.8434275;0.169000336;21.66453095;724.2641378;0.389376807;5.288079299;-330.4533551;0.814310957
6.478337198;9.989138935;376.8312495;203.895845;0.173941427;19.15139328;725.2440261;0.390435917;5.357567045;-330.3967916;0.81370198
6.49010705;9.98918694;370.8751422;204.9464231;0.178831957;16.66308832;726.2167852;0.391428865;5.428068777;-330.3394459;0.813089433
6.501898287;9.989236362;365.0924303;205.994555;0.183673368;14.19975994;727.1821504;0.392360463;5.499599349;-330.2813072;0.81247331
6.513710945;9.989287231;359.4755565;207.0396878;0.188466997;11.76151012;728.1398895;0.393235062;5.572173856;-330.2223648;0.811853608
6.525545065;9.989339579;354.0173868;208.081328;0.193214138;9.348378434;729.0898087;0.394056611;5.645807691;-330.1626079;0.81123032
6.537400685;9.989393439;348.7112043;209.119032;0.197916022;6.960359985;730.0317451;0.394828704;5.72051653;-330.1020252;0.810603438
6.549277845;9.989448841;343.5506788;210.152401;0.202573822;4.597411274;730.9655627;0.395554618;5.796316332;-330.0406056;0.809972955
6.561176583;9.989505821;338.5298313;211.1810785;0.207188666;2.259451657;731.8911515;0.39623735;5.87322335;-329.9783374;0.809338861
6.573096938;9.989564413;333.6430098;212.2047462;0.211761634;-0.053631583;732.8084243;0.396879648;5.951254136;-329.9152089;0.808701148
6.585038951;9.989624653;328.8849379;213.2231052;0.216293697;-2.341944829;733.7173008;0.397484026;6.030425453;-329.8512084;0.808059805
6.59700266;9.989686575;324.2505334;214.2359069;0.220785867;-4.60566086;734.6177355;0.398052807;6.110754476;-329.7863237;0.807414821
6.608988104;9.989750218;319.7350261;215.2429214;0.225239074;-6.844950925;735.5096906;0.39858813;6.19225863;-329.7205424;0.806766184
6.620995324;9.989815619;315.3339063;216.2439412;0.229654198;-9.059996947;736.3931397;0.399091967;6.274955632;-329.6538523;0.806113884
6.633024358;9.989882817;311.0428976;217.2387822;0.234032081;-11.2509948;737.2680688;0.399566143;6.358863507;-329.5862405;0.805457906
6.645075247;9.989951852;306.8579356;218.227282;0.238373533;-13.41815489;738.1344761;0.40001235;6.444000607;-329.5176943;0.804798239
6.65714803;9.990022766;302.7751754;219.2092937;0.242679316;-15.56168954;738.9923663;0.400432156;6.530385577;-329.4482005;0.804134868
6.669242746;9.990095599;298.7909285;220.1846961;0.246950194;-17.6818377;739.8417604;0.400827023;6.618037437;-329.3777458;0.803467779
6.681359437;9.990170394;294.9016959;221.1533816;0.251186895;-19.77884002;740.6826849;0.40119831;6.706975529;-329.3063168;0.802796956
6.693498141;9.990247194;291.1041898;222.1152462;0.255390066;-21.8529194;741.5151639;0.40154728;6.797219456;-329.2338996;0.802122386
6.705658898;9.990326047;287.3952818;223.070198;0.259560327;-23.90430132;742.339227;0.401875111;6.888789153;-329.1604806;0.801444053
6.717841749;9.990406997;283.7719515;224.0181674;0.263698313;-25.93323682;743.154918;0.402182909;6.981704969;-329.0860455;0.800761941
6.730046734;9.990490088;280.2312953;224.9591021;0.267804663;-27.93999276;743.9622907;0.402471709;7.075987646;-329.0105799;0.800076031
6.742273894;9.990575371;276.7706031;225.8929432;0.271879922;-29.92480263;744.7613892;0.402742476;7.171658173;-328.9340692;0.799386309
6.754523267;9.990662895;273.3872842;226.8196419;0.275924613;-31.88790286;745.552262;0.402996117;7.268737905;-328.8564986;0.798692756
6.766794895;9.990752711;270.078864;227.7391575;0.27993924;-33.82953011;746.3349607;0.403233482;7.367248566;-328.7778533;0.797995355
6.779088818;9.990844866;266.8428959;228.6514799;0.283924385;-35.74996972;747.1095593;0.403455376;7.467212413;-328.6981176;0.797294086
6.791405077;9.990939415;263.6771527;229.5565735;0.287880469;-37.649438;747.8761068;0.403662548;7.568651856;-328.6172763;0.796588932
6.803743712;9.991036415;260.5795121;230.4544066;0.291807885;-39.52814504;748.6346519;0.403855705;7.671589665;-328.5353137;0.795879875
6.816104764;9.991135917;257.5478244;231.3449877;0.295707156;-41.38637239;749.3852747;0.404035519;7.776049263;-328.4522137;0.795166894
6.828488274;9.991237975;254.5801105;232.2283067;0.299578685;-43.22434993;750.1280364;0.40420262;7.882054296;-328.36796;0.794449969
6.840894282;9.991342653;251.6745113;233.104347;0.303422811;-45.0422819;750.8629902;0.404357601;7.989628726;-328.2825363;0.793729082
6.853322829;9.991450006;248.8291834;233.9731149;0.307239935;-46.84040916;751.5902055;0.404501026;8.09879707;-328.1959258;0.793004212
6.865773956;9.991560092;246.0423336;234.8346283;0.311030477;-48.61898647;752.3097596;0.40463343;8.209584332;-328.1081114;0.792275336
6.878247704;9.991672975;243.3123327;235.68888;0.314794718;-50.37820595;753.0217058;0.404755315;8.322015713;-328.019076;0.791542434
6.890744115;9.991788719;240.6375802;236.5358774;0.318532975;-52.11828128;753.7261079;0.404867158;8.436116932;-327.9288021;0.790805487
6.90326323;9.991907382;238.0164761;237.3756511;0.322245638;-53.83946472;754.4230465;0.404969416;8.551914322;-327.8372717;0.790064469
6.915805089;9.99202904;235.4476299;238.2081866;0.325932875;-55.54190702;755.1125629;0.405062515;8.669434266;-327.7444672;0.789319363
6.928369734;9.992153751;232.9295479;239.0335231;0.329595069;-57.22586222;755.794741;0.405146866;8.788704033;-327.65037;0.788570142
6.940957207;9.992281584;230.4608709;239.8516767;0.333232475;-58.89152846;756.4696438;0.405222859;8.909751146;-327.5549614;0.787816786
6.953567548;9.992412618;228.0403521;240.6626446;0.336845249;-60.53905862;757.1373167;0.40529086;9.032603416;-327.4582229;0.787059272
6.9662008;9.992546913;225.6666414;241.4664768;0.340433758;-62.16870697;757.7978474;0.405351225;9.157289582;-327.3601349;0.786297575
6.978857004;9.992684548;223.3385652;242.2631816;0.343998168;-63.78063579;758.4512875;0.405404287;9.283838492;-327.2606783;0.785531673
6.991536202;9.992825603;221.0549953;243.0527679;0.347538632;-65.37500261;759.0976874;0.405450367;9.412279475;-327.1598333;0.784761543
7.004238436;9.992970142;218.8147202;243.8352894;0.351055481;-66.95205048;759.7371331;0.405489771;9.542642774;-327.0575797;0.783987157
7.016963747;9.993118255;216.6167353;244.6107432;0.354548786;-68.51190189;760.3696626;0.40552279;9.674958608;-326.9538973;0.783208494
7.029712177;9.993270014;214.4599517;245.3791702;0.358018794;-70.05476323;760.9953488;0.405549702;9.809258116;-326.8487653;0.782425528
7.042483769;9.9934255;212.343374;246.1405926;0.361465658;-71.58079754;761.6142477;0.405570775;9.945572788;-326.7421628;0.781638233
7.055278564;9.99358481;210.2660975;246.8950128;0.364889431;-73.09012367;762.2263979;0.405586263;10.08393445;-326.6340689;0.780846587
7.068096605;9.993748008;208.2270895;247.6424926;0.368290417;-74.58297569;762.8318858;0.40559641;10.22437607;-326.5244613;0.780050561
7.080937934;9.993915205;206.2255616;248.3830168;0.371668567;-76.05942824;763.4307334;0.405601451;10.36693038;-326.4133189;0.779250131
7.093802593;9.994086467;204.2605497;249.1166469;0.375024161;-77.51970597;764.0230242;0.40560161;10.51163147;-326.3006187;0.77844527
7.106690624;9.9942619;202.3312867;249.8433823;0.378357198;-78.96390541;764.6087906;0.405597103;10.65851337;-326.1863386;0.777635952
7.11960207;9.994441594;200.4369485;250.5632545;0.381667805;-80.39218338;765.1880896;0.405588136;10.80761103;-326.0704556;0.776822151
7.132536974;9.994625635;198.5767286;251.276299;0.384956121;-81.8047015;765.7609809;0.405574907;10.95896002;-325.9529462;0.776003838
7.145495378;9.99481414;196.7499528;251.9825106;0.388222094;-83.2015363;766.3274899;0.40555761;11.11259611;-325.8337873;0.775180989
7.158477325;9.995007182;194.9557975;252.6819514;0.391465966;-84.58289564;766.8876961;0.405536425;11.2685564;-325.7129542;0.774353573
7.171482857;9.99520489;193.1936614;253.3746062;0.394687624;-85.94883019;767.4416153;0.405511532;11.42687779;-325.5904234;0.773521566
7.184512018;9.995407336;191.4627737;254.0605352;0.397887289;-87.29953832;767.9893238;0.4054831;11.58759865;-325.4661695;0.772684936
7.197564851;9.995614658;189.7625823;254.739721;0.401064823;-88.63505997;768.530834;0.405451295;11.75075712;-325.340168;0.771843658
7.210641397;9.995826937;188.0923761;255.4122172;0.404220402;-89.95557495;769.0662154;0.405416273;11.91639281;-325.2123931;0.770997702
7.223741702;9.996044303;186.4516104;256.0780189;0.407353935;-91.26114337;769.5954892;0.40537819;12.08454538;-325.0828194;0.770147041
7.236865806;9.996266856;184.8396577;256.737162;0.410465506;-92.5519045;770.1187092;0.405337192;12.2552556;-324.9514204;0.769291644
